[INFO]: Graphics card: GeForce RTX 2070 SUPER/PCIe/SSE2 in: GLRenderer.cpp on line: 42
[INFO]: OpenGL version: 4.5.0 NVIDIA 457.09 in: GLRenderer.cpp on line: 43
[INFO]: Creating StartScene in: StartScene.cpp on line: 6
[INFO]: Creating GameScene in: GameScene.cpp on line: 19
[INFO]: Texture was not found, now loading: diceMap.jpg in: MaterialLoader.cpp on line: 11
[INFO]: model:           10 in: GLMesh.cpp on line: 138
[INFO]: view:            12 in: GLMesh.cpp on line: 139
[INFO]: proj:            11 in: GLMesh.cpp on line: 140
[INFO]: cameraPosLoc:    0 in: GLMesh.cpp on line: 141
[INFO]: lightPosLoc:     3 in: GLMesh.cpp on line: 142
[INFO]: lightAmbientLoc: 1 in: GLMesh.cpp on line: 143
[INFO]: lightDiffuseLoc: 4294967295 in: GLMesh.cpp on line: 144
[INFO]: lightColorLoc:   2 in: GLMesh.cpp on line: 145
[INFO]: diffuseMap:		      6 in: GLMesh.cpp on line: 147
[INFO]: matShinynessLoc:	  7 in: GLMesh.cpp on line: 148
[INFO]: matTransparencyLoc:   9 in: GLMesh.cpp on line: 149
[INFO]: matAmbientLoc:        4 in: GLMesh.cpp on line: 150
[INFO]: matDiffuseLoc:        5 in: GLMesh.cpp on line: 151
[INFO]: matSpecularLoc:       8 in: GLMesh.cpp on line: 152
[INFO]: Texture was not found, now loading: Apple_Body.jpg in: MaterialLoader.cpp on line: 11
[INFO]: Texture was not found, now loading: Apple_Branch.jpg in: MaterialLoader.cpp on line: 11
[INFO]: model:           10 in: GLMesh.cpp on line: 138
[INFO]: view:            12 in: GLMesh.cpp on line: 139
[INFO]: proj:            11 in: GLMesh.cpp on line: 140
[INFO]: cameraPosLoc:    0 in: GLMesh.cpp on line: 141
[INFO]: lightPosLoc:     3 in: GLMesh.cpp on line: 142
[INFO]: lightAmbientLoc: 1 in: GLMesh.cpp on line: 143
[INFO]: lightDiffuseLoc: 4294967295 in: GLMesh.cpp on line: 144
[INFO]: lightColorLoc:   2 in: GLMesh.cpp on line: 145
[INFO]: diffuseMap:		      6 in: GLMesh.cpp on line: 147
[INFO]: matShinynessLoc:	  7 in: GLMesh.cpp on line: 148
[INFO]: matTransparencyLoc:   9 in: GLMesh.cpp on line: 149
[INFO]: matAmbientLoc:        4 in: GLMesh.cpp on line: 150
[INFO]: matDiffuseLoc:        5 in: GLMesh.cpp on line: 151
[INFO]: matSpecularLoc:       8 in: GLMesh.cpp on line: 152
[INFO]: model:           10 in: GLMesh.cpp on line: 138
[INFO]: view:            12 in: GLMesh.cpp on line: 139
[INFO]: proj:            11 in: GLMesh.cpp on line: 140
[INFO]: cameraPosLoc:    0 in: GLMesh.cpp on line: 141
[INFO]: lightPosLoc:     3 in: GLMesh.cpp on line: 142
[INFO]: lightAmbientLoc: 1 in: GLMesh.cpp on line: 143
[INFO]: lightDiffuseLoc: 4294967295 in: GLMesh.cpp on line: 144
[INFO]: lightColorLoc:   2 in: GLMesh.cpp on line: 145
[INFO]: diffuseMap:		      6 in: GLMesh.cpp on line: 147
[INFO]: matShinynessLoc:	  7 in: GLMesh.cpp on line: 148
[INFO]: matTransparencyLoc:   9 in: GLMesh.cpp on line: 149
[INFO]: matAmbientLoc:        4 in: GLMesh.cpp on line: 150
[INFO]: matDiffuseLoc:        5 in: GLMesh.cpp on line: 151
[INFO]: matSpecularLoc:       8 in: GLMesh.cpp on line: 152
[INFO]: texture size: ivec2(2000, 2000) in: SpriteSurface.cpp on line: 22
[INFO]: shaderProgram: 9 in: SpriteSurface.cpp on line: 58
[INFO]: modeLoc: 1 in: SpriteSurface.cpp on line: 59
[INFO]: projLoc: 2 in: SpriteSurface.cpp on line: 60
[INFO]: tintLoc: 3 in: SpriteSurface.cpp on line: 61
[INFO]: textureLoc: 0 in: SpriteSurface.cpp on line: 62
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
[INFO]: Playing sound! in: PlayOnHit.cpp on line: 14
